project,bug_id,bug_score,fix_score,code_status,total_score
Lang,29,1.0,1.0,Pass,1.0
Lang,55,1.0,1.0,Pass,1.0
JacksonDatabind,30,0.8690476190476191,0.8095238095238095,Pass,0.9196428571428572
Mockito,37,0.8571428571428571,0.0,Not Compilable,0.21428571428571427
JacksonDatabind,66,0.5,0.0,Not Compilable,0.125
Closure,105,0.9464285714285714,0.9322033898305084,Pass,0.96965799031477
JacksonDatabind,9,0.8333333333333334,0.875,Pass,0.9270833333333334
Closure,22,0.8461538461538461,0.7948717948717948,Not Pass,0.41025641025641024
JxPath,11,0.8409090909090909,0.6739130434782609,Not Pass,0.37870553359683795
JacksonDatabind,31,0.9696969696969697,0.9696969696969697,Not Pass,0.48484848484848486
Math,89,0.5,0.75,Pass,0.8125
Closure,167,0.5844155844155844,0.609375,Pass,0.7984476461038961
Jsoup,32,1.0,1.0,Not Pass,0.5
Closure,36,0.8461538461538461,0.9,Pass,0.9365384615384615
JacksonCore,13,1.0,1.0,Not Pass,0.5
Math,60,1.0,0.8571428571428571,Not Pass,0.4642857142857143
JacksonDatabind,23,0.6666666666666666,0.6666666666666666,Not Pass,0.3333333333333333
JacksonCore,11,0.8571428571428571,0.875,Pass,0.9330357142857143
Collections,15,1.0,1.0,Pass,1.0
JacksonDatabind,64,0.72,0.8148148148148148,Not Pass,0.38370370370370366
JacksonCore,5,0.9166666666666666,1.0,Pass,0.9791666666666666
Math,56,1.0,1.0,Pass,1.0
Jsoup,13,1.0,1.0,Pass,1.0
Gson,5,0.9101123595505618,0.9120879120879121,Pass,0.9555500679096185
Math,38,0.8347826086956521,0.6727272727272727,Not Pass,0.3768774703557312
JacksonDatabind,51,1.0,0.8888888888888888,Not Pass,0.4722222222222222
Time,12,1.0,0.0,Not Compilable,0.25
Lang,9,0.9615384615384616,0.9642857142857143,Pass,0.981456043956044
Closure,151,0.6666666666666666,0.7945205479452054,Not Pass,0.365296803652968
Codec,8,0.92,0.7666666666666667,Not Pass,0.4216666666666667
Closure,99,0.8846153846153846,0.7142857142857143,Pass,0.8997252747252747
Gson,9,1.0,0.7391304347826086,Not Pass,0.43478260869565216
Closure,62,1.0,1.0,Pass,1.0
JacksonDatabind,38,0.75,0.75,Not Pass,0.375
Jsoup,8,1.0,0.0,Not Compilable,0.25
Compress,19,1.0,0.7619047619047619,Pass,0.9404761904761905
Math,97,0.8,0.5,Not Pass,0.325
Compress,29,0.6616541353383458,0.6616541353383458,Not Pass,0.3308270676691729
Gson,14,1.0,1.0,Pass,1.0
Time,13,0.8918918918918919,0.8604651162790697,Pass,0.9380892520427404
Closure,64,0.9375,0.8085106382978723,Pass,0.9365026595744681
Mockito,20,0.8888888888888888,0.8888888888888888,Not Pass,0.4444444444444444
Collections,23,1.0,1.0,Pass,1.0
Cli,34,1.0,1.0,Pass,1.0
Compress,12,0.918918918918919,0.9761904761904762,Pass,0.9737773487773488
Compress,34,1.0,1.0,Pass,1.0
JacksonDatabind,48,1.0,1.0,Pass,1.0
JacksonDatabind,41,1.0,1.0,Pass,1.0
Math,88,1.0,0.9285714285714286,Pass,0.9821428571428572
Jsoup,81,0.9818181818181818,0.7272727272727273,Not Pass,0.42727272727272725
Time,7,0.9523809523809523,0.8181818181818182,Not Pass,0.4426406926406926
JacksonDatabind,53,0.6304347826086957,0.6304347826086957,Not Pass,0.31521739130434784
Closure,5,0.9743589743589743,0.9523809523809523,Pass,0.9816849816849816
Math,43,0.9285714285714286,0.9285714285714286,Not Pass,0.4642857142857143
Compress,13,1.0,1.0,Pass,1.0
Jsoup,26,0.75,0.8333333333333334,Pass,0.8958333333333334
Time,5,0.9444444444444444,1.0,Not Pass,0.4861111111111111
Math,23,0.803921568627451,0.7920792079207921,Pass,0.8990001941370608
Math,84,0.21428571428571427,0.5333333333333333,Not Compilable,0.1869047619047619
JacksonDatabind,28,1.0,1.0,Pass,1.0
Compress,40,0.8888888888888888,0.92,Pass,0.9522222222222222
Jsoup,75,0.6363636363636364,0.6363636363636364,Pass,0.8181818181818181
Jsoup,28,0.7142857142857143,0.6666666666666666,Not Pass,0.34523809523809523
Mockito,29,0.5,0.8333333333333334,Pass,0.8333333333333334
Math,35,0.6666666666666666,1.0,Not Pass,0.41666666666666663
Math,5,1.0,1.0,Pass,1.0
Closure,123,0.6462264150943396,0.6476683937823834,Not Pass,0.32347370221918076
Jsoup,53,1.0,0.9130434782608695,Pass,0.9782608695652174
Time,19,1.0,1.0,Pass,1.0
Math,91,1.0,1.0,Pass,1.0
Closure,152,0.6470588235294118,0.7,Not Pass,0.33676470588235297
Cli,31,0.9,0.9090909090909091,Pass,0.9522727272727273
Jsoup,1,0.9230769230769231,0.9166666666666666,Pass,0.9599358974358975
Closure,11,0.5,0.9166666666666666,Pass,0.8541666666666666
Cli,35,1.0,1.0,Pass,1.0
Lang,33,1.0,1.0,Pass,1.0
JacksonCore,1,1.0,1.0,Not Pass,0.5
Cli,26,1.0,1.0,Pass,1.0
Time,15,0.875,1.0,Pass,0.96875
Compress,17,0.96,0.9230769230769231,Pass,0.9707692307692308
Jsoup,23,0.8846153846153846,0.9423076923076923,Pass,0.9567307692307692
Chart,20,0.6666666666666666,0.6666666666666666,Pass,0.8333333333333333
Math,87,1.0,0.9,Pass,0.975
Csv,6,0.8,0.8333333333333334,Pass,0.9083333333333333
Lang,49,1.0,0.8461538461538461,Pass,0.9615384615384616
Math,76,0.9629629629629629,0.9629629629629629,Not Pass,0.48148148148148145
Compress,11,1.0,0.9743589743589743,Pass,0.9935897435897436
